"","true_like","ml_like","ml_X1","ml_X2","ml_X3","ml_X4","true_X1","true_X2","true_X3","true_X4","M","N","z","run","seed","p","nbio","nevents"
"sub.15105",-458.20271517039,-458.20271517039,1,2,1,3,1,2,1,3,250,4,16,1,125095416,0.95,4,1
"sub.16105",-498.273359587611,-498.273359587611,2,3,1,2,2,3,1,2,250,4,17,1,125095417,0.95,4,1
"sub.17105",-448.704114665762,-448.704114665762,1,1,2,2,1,1,2,2,250,4,18,1,125095418,0.95,4,1
"sub.18105",-462.22965926789,-462.22965926789,1,1,1,2,1,1,1,2,250,4,19,1,125095419,0.95,4,1
"sub.19105",-365.091208000109,-365.091208000109,1,1,1,1,1,1,1,1,250,4,20,1,125095420,0.95,4,1
"sub106",-457.407257608381,-457.407257608381,1,2,3,3,1,2,3,3,250,4,1,10,102509541,0.95,4,1
"sub.1408",-477.780779866953,-477.780779866953,3,1,1,2,3,1,1,2,250,4,2,10,102509542,0.95,4,1
"sub.2106",-474.487160989288,-474.487160989288,1,3,2,3,1,3,2,3,250,4,3,10,102509543,0.95,4,1
"sub.3106",-350.382806005087,-350.382806005087,1,1,1,1,1,1,1,1,250,4,4,10,102509544,0.95,4,1
"sub.4106",-491.085339869552,-491.085339869552,1,1,2,3,1,1,2,3,250,4,5,10,102509545,0.95,4,1
"sub.5106",-492.121075848809,-492.121075848809,2,3,4,1,2,3,4,1,250,4,6,10,102509546,0.95,4,1
"sub.6106",-489.598878280501,-489.598878280501,3,1,3,2,3,1,3,2,250,4,7,10,102509547,0.95,4,1
"sub.7106",-508.556732820489,-508.556732820489,1,4,2,3,1,4,2,3,250,4,8,10,102509548,0.95,4,1
"sub.8106",-420.750681318103,-420.750681318103,2,2,1,2,2,2,1,2,250,4,9,10,102509549,0.95,4,1
"sub.9106",-463.031257414456,-463.031257414456,3,2,1,2,3,2,1,2,250,4,10,10,1025095410,0.95,4,1
"sub.10106",-435.844832804192,-435.844832804192,1,2,2,2,1,2,2,2,250,4,11,10,1025095411,0.95,4,1
"sub.11145",-430.201183523524,-430.201183523524,1,1,2,1,1,1,2,1,250,4,12,10,1025095412,0.95,4,1
"sub.12122",-481.579905830645,-481.579905830645,3,2,4,1,3,2,4,1,250,4,13,10,1025095413,0.95,4,1
"sub.13109",-454.203302414667,-454.203302414667,2,1,1,2,2,1,1,2,250,4,14,10,1025095414,0.95,4,1
"sub.14106",-452.935998765018,-452.935998765018,1,1,1,2,1,1,1,2,250,4,15,10,1025095415,0.95,4,1
"sub.15106",-416.717929225275,-416.717929225275,1,1,1,2,1,1,1,2,250,4,16,10,1025095416,0.95,4,1
"sub.16106",-458.544438241746,-458.544438241746,3,2,1,3,3,2,1,3,250,4,17,10,1025095417,0.95,4,1
"sub.17106",-436.259360123643,-436.259360123643,2,1,2,1,2,1,2,1,250,4,18,10,1025095418,0.95,4,1
"sub.18106",-434.94759860996,-434.94759860996,2,2,1,1,2,2,1,1,250,4,19,10,1025095419,0.95,4,1
"sub.19106",-475.513250471977,-475.513250471977,3,3,2,1,3,3,2,1,250,4,20,10,1025095420,0.95,4,1
"sub107",-410.53095813463,-410.53095813463,1,1,1,2,1,1,1,2,250,4,1,11,112509541,0.95,4,1
"sub.1409",-381.366045700326,-381.366045700326,1,1,1,1,1,1,1,1,250,4,2,11,112509542,0.95,4,1
"sub.2107",-407.153546944462,-407.153546944462,1,1,1,1,1,1,1,1,250,4,3,11,112509543,0.95,4,1
"sub.3107",-463.913664410584,-463.913664410584,3,3,1,2,3,3,1,2,250,4,4,11,112509544,0.95,4,1
"sub.4107",-437.921312047046,-437.921312047046,1,1,1,2,1,1,1,2,250,4,5,11,112509545,0.95,4,1
"sub.5107",-509.825990117257,-509.825990117257,2,1,4,3,2,1,4,3,250,4,6,11,112509546,0.95,4,1
